instance	class	skos	ontology	ontology vann:namespace
http://lawd.info/ontology/addition	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/addition	http://lawd.info/ontology/Reading	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/agreement	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/agreement	http://lawd.info/ontology/Reading	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/conjecture	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/conjecture	http://lawd.info/ontology/Reading	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/correction	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/correction	http://lawd.info/ontology/Reading	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/deletion	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/deletion	http://lawd.info/ontology/Reading	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/interpolation	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/interpolation	http://lawd.info/ontology/Reading	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/intervention	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/intervention	http://lawd.info/ontology/Reading	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/omission	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/omission	http://lawd.info/ontology/Reading	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/transposition	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/transposition	http://lawd.info/ontology/Reading	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/uncertainReading	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/uncertainReading	http://lawd.info/ontology/Reading	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/variant	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://lawd.info/ontology/	http://lawd.info/ontology/
http://lawd.info/ontology/variant	http://lawd.info/ontology/Reading	0	http://lawd.info/ontology/	http://lawd.info/ontology/
