instance	class	skos	ontology	ontology vann:namespace
http://openprovenance.org/model/opmo	http://www.w3.org/2002/07/owl#Thing	0	http://openprovenance.org/model/opmo	http://openprovenance.org/model/opmo#
http://openprovenance.org/model/opmo	http://www.w3.org/2002/07/owl#Ontology	0	http://openprovenance.org/model/opmo	http://openprovenance.org/model/opmo#
http://openprovenance.org/model/opmo	http://xmlns.com/foaf/0.1/Document	0	http://openprovenance.org/model/opmo	http://openprovenance.org/model/opmo#
http://openprovenance.org/model/opmo	http://rdfs.org/ns/void#Dataset	0	http://openprovenance.org/model/opmo	http://openprovenance.org/model/opmo#
http://openprovenance.org/model/opmo#Used	http://www.w3.org/2002/07/owl#Thing	0	http://openprovenance.org/model/opmo	http://openprovenance.org/model/opmo#
http://purl.org/net/opmv/ns#used	http://www.w3.org/2002/07/owl#Thing	0	http://openprovenance.org/model/opmo	http://openprovenance.org/model/opmo#
http://purl.org/net/opmv/ns#wasControlledBy	http://www.w3.org/2002/07/owl#Thing	0	http://openprovenance.org/model/opmo	http://openprovenance.org/model/opmo#
http://purl.org/net/opmv/ns#wasDerivedFrom	http://www.w3.org/2002/07/owl#Thing	0	http://openprovenance.org/model/opmo	http://openprovenance.org/model/opmo#
http://purl.org/net/opmv/ns#wasGeneratedBy	http://www.w3.org/2002/07/owl#Thing	0	http://openprovenance.org/model/opmo	http://openprovenance.org/model/opmo#
http://purl.org/net/opmv/ns#wasTriggeredBy	http://www.w3.org/2002/07/owl#Thing	0	http://openprovenance.org/model/opmo	http://openprovenance.org/model/opmo#
