instance	class	skos	ontology	ontology vann:namespace	instance namespace
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Sleet	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Sleet	http://paul.staroch.name/thesis/SmartHomeWeather.owl#WeatherCondition	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Cloud	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Cloud	http://paul.staroch.name/thesis/SmartHomeWeather.owl#WeatherCondition	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Fog	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Fog	http://paul.staroch.name/thesis/SmartHomeWeather.owl#WeatherCondition	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#LightCloud	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#LightCloud	http://paul.staroch.name/thesis/SmartHomeWeather.owl#WeatherCondition	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#PartlyCloud	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#PartlyCloud	http://paul.staroch.name/thesis/SmartHomeWeather.owl#WeatherCondition	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Rain	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Rain	http://paul.staroch.name/thesis/SmartHomeWeather.owl#WeatherCondition	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Snow	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Snow	http://paul.staroch.name/thesis/SmartHomeWeather.owl#WeatherCondition	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Sun	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Sun	http://paul.staroch.name/thesis/SmartHomeWeather.owl#WeatherCondition	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Thunder	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
http://paul.staroch.name/thesis/SmartHomeWeather.owl#Thunder	http://paul.staroch.name/thesis/SmartHomeWeather.owl#WeatherCondition	0	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#	http://paul.staroch.name/thesis/SmartHomeWeather.owl#
