instance	class	skos	ontology	ontology vann:namespace	instance namespace
http://purl.org/ontology/mo/bootleg	http://purl.org/ontology/mo/ReleaseStatus	0	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/
http://purl.org/ontology/mo/official	http://purl.org/ontology/mo/ReleaseStatus	0	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/
http://purl.org/ontology/mo/promotion	http://purl.org/ontology/mo/ReleaseStatus	0	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/
http://purl.org/ontology/mo/album	http://purl.org/ontology/mo/ReleaseType	0	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/
http://purl.org/ontology/mo/audiobook	http://purl.org/ontology/mo/ReleaseType	0	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/
http://purl.org/ontology/mo/compilation	http://purl.org/ontology/mo/ReleaseType	0	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/
http://purl.org/ontology/mo/ep	http://purl.org/ontology/mo/ReleaseType	0	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/
http://purl.org/ontology/mo/interview	http://purl.org/ontology/mo/ReleaseType	0	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/
http://purl.org/ontology/mo/live	http://purl.org/ontology/mo/ReleaseType	0	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/
http://purl.org/ontology/mo/remix	http://purl.org/ontology/mo/ReleaseType	0	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/
http://purl.org/ontology/mo/single	http://purl.org/ontology/mo/ReleaseType	0	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/
http://purl.org/ontology/mo/soundtrack	http://purl.org/ontology/mo/ReleaseType	0	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/
http://purl.org/ontology/mo/spokenword	http://purl.org/ontology/mo/ReleaseType	0	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/	http://purl.org/ontology/mo/
