instance	class	skos	ontology	ontology vann:namespace	instance namespace
http://purl.org/ontology/bibo/accepted	http://purl.org/ontology/bibo/DocumentStatus	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/draft	http://purl.org/ontology/bibo/DocumentStatus	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/peerReviewed	http://purl.org/ontology/bibo/DocumentStatus	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/published	http://purl.org/ontology/bibo/DocumentStatus	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/rejected	http://purl.org/ontology/bibo/DocumentStatus	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/unpublished	http://purl.org/ontology/bibo/DocumentStatus	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.org/ontology/bibo/
http://vivoweb.org/ontology/core#inPress	http://purl.org/ontology/bibo/DocumentStatus	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#
http://vivoweb.org/ontology/core#invited	http://purl.org/ontology/bibo/DocumentStatus	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#
http://vivoweb.org/ontology/core#submitted	http://purl.org/ontology/bibo/DocumentStatus	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#
http://vivoweb.org/ontology/core#yearMonthDayPrecision	http://vivoweb.org/ontology/core#DateTimeValuePrecision	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#
http://vivoweb.org/ontology/core#yearMonthDayTimePrecision	http://vivoweb.org/ontology/core#DateTimeValuePrecision	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#
http://vivoweb.org/ontology/core#yearMonthPrecision	http://vivoweb.org/ontology/core#DateTimeValuePrecision	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#
http://vivoweb.org/ontology/core#yearPrecision	http://vivoweb.org/ontology/core#DateTimeValuePrecision	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#
http://purl.obolibrary.org/obo/ARG_2000400	http://purl.obolibrary.org/obo/UO_0000280	false	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.obolibrary.org/obo/
