instance	class	skos	ontology	ontology vann:namespace	instance namespace
http://www.linkedmodel.org/schema/vaem#GMD_VAEM	http://www.linkedmodel.org/schema/vaem#GraphMetaData	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#TopQuadrant	http://www.linkedmodel.org/schema/vaem#Party	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#SchemaGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#VocabularyGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#CollectionGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#ConstraintsGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#ControllersGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#CurationGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#DataGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#DocumentationGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#FunctionsGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#LinkSetGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#MappingGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#ProxyGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#RulesGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#ScriptGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#TransformsGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
http://www.linkedmodel.org/schema/vaem#ViewGraph	http://www.linkedmodel.org/schema/vaem#GraphRole	false	http://www.linkedmodel.org/schema/vaem	http://www.linkedmodel.org/schema/vaem#	http://www.linkedmodel.org/schema/vaem#
