instance	class	skos	ontology	ontology vann:namespace	instance namespace
http://www.oegov.org/core/owl/gc#CreativeCommonsAttributionShareAlike3.0_UnitedStatesLicense	http://creativecommons.org/ns#License	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#TopQuadrantAttribution	http://www.oegov.org/core/owl/gc#AttributedSource	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#CSV-Format	http://www.oegov.org/core/owl/gc#DataFormat	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#HTML-Format	http://www.oegov.org/core/owl/gc#DataFormat	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#KML-Format	http://www.oegov.org/core/owl/gc#DataFormat	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#KMZ-Format	http://www.oegov.org/core/owl/gc#DataFormat	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#OWL-Format	http://www.oegov.org/core/owl/gc#DataFormat	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#RDF-Format	http://www.oegov.org/core/owl/gc#DataFormat	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#RSS-Format	http://www.oegov.org/core/owl/gc#DataFormat	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#ShapefileFormat	http://www.oegov.org/core/owl/gc#DataFormat	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#TextFormat	http://www.oegov.org/core/owl/gc#DataFormat	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#UnstructuredDataFormat	http://www.oegov.org/core/owl/gc#DataFormat	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#XML-Format	http://www.oegov.org/core/owl/gc#DataFormat	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#XSL-Format	http://www.oegov.org/core/owl/gc#DataFormat	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#Q1	http://www.oegov.org/core/owl/gc#Quarter	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#Q2	http://www.oegov.org/core/owl/gc#Quarter	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#Q3	http://www.oegov.org/core/owl/gc#Quarter	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
http://www.oegov.org/core/owl/gc#Q4	http://www.oegov.org/core/owl/gc#Quarter	false	http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#	http://www.oegov.org/core/owl/gc#
