instance	class	skos	ontology	ontology vann:namespace	instance namespace
http://www.w3.org/2002/07/owl#deprecated	http://www.w3.org/2002/07/owl#AnnotationProperty	0	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#backwardCompatibleWith	http://www.w3.org/2002/07/owl#AnnotationProperty	0	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#backwardCompatibleWith	http://www.w3.org/2002/07/owl#OntologyProperty	0	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#incompatibleWith	http://www.w3.org/2002/07/owl#AnnotationProperty	0	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#incompatibleWith	http://www.w3.org/2002/07/owl#OntologyProperty	0	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#priorVersion	http://www.w3.org/2002/07/owl#AnnotationProperty	0	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#priorVersion	http://www.w3.org/2002/07/owl#OntologyProperty	0	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#versionInfo	http://www.w3.org/2002/07/owl#AnnotationProperty	0	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#topDataProperty	http://www.w3.org/2002/07/owl#DatatypeProperty	0	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#bottomDataProperty	http://www.w3.org/2002/07/owl#DatatypeProperty	0	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#versionIRI	http://www.w3.org/2002/07/owl#OntologyProperty	0	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#imports	http://www.w3.org/2002/07/owl#OntologyProperty	0	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#
