instance	class	skos	ontology	ontology vann:namespace	instance namespace
http://www.w3.org/2004/09/fresnel#defaultLens	http://www.w3.org/2004/09/fresnel#Purpose	0	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#
http://www.w3.org/2004/09/fresnel#labelLens	http://www.w3.org/2004/09/fresnel#Purpose	0	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#
http://www.w3.org/2004/09/fresnel#member	http://www.w3.org/2004/09/fresnel#ConvienceProperty	0	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#
http://www.w3.org/2004/09/fresnel#none	http://www.w3.org/2004/09/fresnel#LabellingFormat	0	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#
http://www.w3.org/2004/09/fresnel#show	http://www.w3.org/2004/09/fresnel#LabellingFormat	0	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#
http://www.w3.org/2004/09/fresnel#allProperties	http://www.w3.org/2004/09/fresnel#PropertySet	0	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#
http://www.w3.org/2004/09/fresnel#externalLink	http://www.w3.org/2004/09/fresnel#PropertyValueStyle	0	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#
http://www.w3.org/2004/09/fresnel#image	http://www.w3.org/2004/09/fresnel#PropertyValueStyle	0	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#
http://www.w3.org/2004/09/fresnel#replacedResource	http://www.w3.org/2004/09/fresnel#PropertyValueStyle	0	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#
http://www.w3.org/2004/09/fresnel#uri	http://www.w3.org/2004/09/fresnel#PropertyValueStyle	0	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#
