instance	class	skos	ontology	ontology vann:namespace	instance namespace
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#StGenevieveTexasWhite	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#WhiteWine	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#RoseDAnjou	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Anjou	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#ChateauMorgonBeaujolais	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Beaujolais	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#WhitehallLaneCabernetFranc	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CabernetFranc	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#FormanCabernetSauvignon	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CabernetSauvignon	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#MariettaCabernetSauvignon	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CabernetSauvignon	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#PageMillWineryCabernetSauvignon	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CabernetSauvignon	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#SantaCruzMountainVineyardCabernetSauvignon	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CabernetSauvignon	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#BancroftChardonnay	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Chardonnay	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#FormanChardonnay	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Chardonnay	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#MountadamChardonnay	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Chardonnay	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#MountEdenVineyardEdnaValleyChardonnay	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Chardonnay	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#PeterMccoyChardonnay	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Chardonnay	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#FoxenCheninBlanc	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CheninBlanc	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#VentanaCheninBlanc	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CheninBlanc	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#ChiantiClassico	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Chianti	false	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
