instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://purl.org/innovation/ns#d1-defining-the-need	http://purl.org/innovation/ns#stages-of-innovation	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#d1-defining-the-need	http://purl.org/innovation/ns#DevelopmentStage	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#d2-designing-the-solution	http://purl.org/innovation/ns#DevelopmentStage	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#d2-designing-the-solution	http://purl.org/innovation/ns#stages-of-innovation	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#d3-developing-the-opportunity	http://purl.org/innovation/ns#DevelopmentStage	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#d3-developing-the-opportunity	http://purl.org/innovation/ns#stages-of-innovation	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#d4-demonstrating-the-benefits	http://purl.org/innovation/ns#stages-of-innovation	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#d4-demonstrating-the-benefits	http://purl.org/innovation/ns#DevelopmentStage	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#d5-distributing-the-product	http://purl.org/innovation/ns#stages-of-innovation	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#d5-distributing-the-product	http://purl.org/innovation/ns#DevelopmentStage	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#economic-benefits	-	-	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#economic-symptoms	-	-	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#health-benefits	-	-	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#health-symptoms	-	-	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#legal-benefits	-	-	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#legal-symptoms	-	-	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#scientific-benefits	-	-	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#scientific-symptoms	-	-	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#social-benefits	-	-	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#social-symptoms	-	-	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#stages-of-innovation	-	-	-	http://purl.org/innovation/ns	http://purl.org/innovation/ns#	http://purl.org/innovation/ns#
