instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://idi.fundacionctic.org/cruzar/turismo#Dia-de-visita-turistica_6	http://idi.fundacionctic.org/cruzar/turismo#Dia-de-visita-turistica	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Estilo-neoclasico	http://idi.fundacionctic.org/cruzar/turismo#Estilo-artistico	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Estilo-renacentista	http://idi.fundacionctic.org/cruzar/turismo#Estilo-artistico	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Grupo-con-ninyos	http://idi.fundacionctic.org/cruzar/turismo#Grupo-de-viaje	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Grupo-con-personas-con-discapacidad	http://idi.fundacionctic.org/cruzar/turismo#Grupo-de-viaje	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Grupo-individual	http://idi.fundacionctic.org/cruzar/turismo#Grupo-de-viaje	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Horario-de-visita_7	http://idi.fundacionctic.org/cruzar/turismo#Horario-de-visita	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Perfil-de-prueba1	http://idi.fundacionctic.org/cruzar/turismo#Perfil-de-turista	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Conocer-zaragoza-verde	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ir-de-compras	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Pasear	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Salir-de-marcha	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-estilo-barroco	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-estilo-contemporaneo	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-estilo-renacentista	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-museo	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Viaje-de-descanso	http://idi.fundacionctic.org/cruzar/turismo#Viaje	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Viaje-de-negocios	http://idi.fundacionctic.org/cruzar/turismo#Viaje	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://idi.fundacionctic.org/cruzar/turismo#
http://id.ecs.soton.ac.uk/person/1248	http://xmlns.com/foaf/0.1/Person	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://id.ecs.soton.ac.uk/person/
http://dev.poderopedia.com/vocab/ceo	http://dev.poderopedia.com/vocab/WorkRole	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://dev.poderopedia.com/vocab/
http://dev.poderopedia.com/vocab/cto	http://dev.poderopedia.com/vocab/WorkRole	-	-	http://geovocab.org/spatial	http://geovocab.org/spatial#	http://dev.poderopedia.com/vocab/
