instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://purl.org/library/BlurayDisk	http://purl.org/library/Carrier	-	-	http://purl.org/library/	http://purl.org/library/	http://purl.org/library/
http://purl.org/library/CassetteTape	http://purl.org/library/Carrier	-	-	http://purl.org/library/	http://purl.org/library/	http://purl.org/library/
http://purl.org/library/CD	http://purl.org/library/Carrier	-	-	http://purl.org/library/	http://purl.org/library/	http://purl.org/library/
http://purl.org/library/DVD	http://purl.org/library/Carrier	-	-	http://purl.org/library/	http://purl.org/library/	http://purl.org/library/
http://purl.org/library/FilmReel	http://purl.org/library/Carrier	-	-	http://purl.org/library/	http://purl.org/library/	http://purl.org/library/
http://purl.org/library/LP	http://purl.org/library/Carrier	-	-	http://purl.org/library/	http://purl.org/library/	http://purl.org/library/
http://purl.org/library/Microform	http://purl.org/library/Carrier	-	-	http://purl.org/library/	http://purl.org/library/	http://purl.org/library/
http://purl.org/library/VHSTape	http://purl.org/library/Carrier	-	-	http://purl.org/library/	http://purl.org/library/	http://purl.org/library/
http://purl.org/library/Volume	http://purl.org/library/Carrier	-	-	http://purl.org/library/	http://purl.org/library/	http://purl.org/library/
http://purl.org/library/WWW	http://purl.org/library/Carrier	-	-	http://purl.org/library/	http://purl.org/library/	http://purl.org/library/
