instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://purl.org/vso/ns#4WD	http://purl.org/vso/ns#DriveWheelConfigurationValue	-	-	http://purl.org/vso/ns	http://purl.org/vso/ns#	http://purl.org/vso/ns#
http://purl.org/vso/ns#AWD	http://purl.org/vso/ns#DriveWheelConfigurationValue	-	-	http://purl.org/vso/ns	http://purl.org/vso/ns#	http://purl.org/vso/ns#
http://purl.org/vso/ns#FWD	http://purl.org/vso/ns#DriveWheelConfigurationValue	-	-	http://purl.org/vso/ns	http://purl.org/vso/ns#	http://purl.org/vso/ns#
http://purl.org/vso/ns#RWD	http://purl.org/vso/ns#DriveWheelConfigurationValue	-	-	http://purl.org/vso/ns	http://purl.org/vso/ns#	http://purl.org/vso/ns#
http://purl.org/vso/ns#1GLI	http://purl.org/vso/ns#FuelQuantity	-	-	http://purl.org/vso/ns	http://purl.org/vso/ns#	http://purl.org/vso/ns#
http://purl.org/vso/ns#1GLL	http://purl.org/vso/ns#FuelQuantity	-	-	http://purl.org/vso/ns	http://purl.org/vso/ns#	http://purl.org/vso/ns#
http://purl.org/vso/ns#1LTR	http://purl.org/vso/ns#FuelQuantity	-	-	http://purl.org/vso/ns	http://purl.org/vso/ns#	http://purl.org/vso/ns#
http://purl.org/vso/ns#TwoStrokeMixture	http://purl.org/vso/ns#FuelTypeValue	-	-	http://purl.org/vso/ns	http://purl.org/vso/ns#	http://purl.org/vso/ns#
http://purl.org/vso/ns#0to100KMH	http://purl.org/vso/ns#SpeedInterval	-	-	http://purl.org/vso/ns	http://purl.org/vso/ns#	http://purl.org/vso/ns#
http://purl.org/vso/ns#0to60MPH	http://purl.org/vso/ns#SpeedInterval	-	-	http://purl.org/vso/ns	http://purl.org/vso/ns#	http://purl.org/vso/ns#
http://purl.org/vso/ns#Left	http://purl.org/vso/ns#SteeringPositionValue	-	-	http://purl.org/vso/ns	http://purl.org/vso/ns#	http://purl.org/vso/ns#
http://purl.org/vso/ns#Right	http://purl.org/vso/ns#SteeringPositionValue	-	-	http://purl.org/vso/ns	http://purl.org/vso/ns#	http://purl.org/vso/ns#
