instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://data.europa.eu/eli/ontology#InForce-inForce	http://data.europa.eu/eli/ontology#InForce	http://www.w3.org/2004/02/skos/core#Concept	http://data.europa.eu/eli/ontology#InForceTable	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://data.europa.eu/eli/ontology#
http://data.europa.eu/eli/ontology#InForce-notInForce	http://data.europa.eu/eli/ontology#InForce	http://www.w3.org/2004/02/skos/core#Concept	http://data.europa.eu/eli/ontology#InForceTable	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://data.europa.eu/eli/ontology#
http://data.europa.eu/eli/ontology#InForce-partiallyInForce	http://data.europa.eu/eli/ontology#InForce	http://www.w3.org/2004/02/skos/core#Concept	http://data.europa.eu/eli/ontology#InForceTable	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://data.europa.eu/eli/ontology#
http://data.europa.eu/eli/ontology#LegalValue-authoritative	http://data.europa.eu/eli/ontology#LegalValue	http://www.w3.org/2004/02/skos/core#Concept	http://data.europa.eu/eli/ontology#LegalValueTable	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://data.europa.eu/eli/ontology#
http://data.europa.eu/eli/ontology#LegalValue-definitive	http://data.europa.eu/eli/ontology#LegalValue	http://www.w3.org/2004/02/skos/core#Concept	http://data.europa.eu/eli/ontology#LegalValueTable	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://data.europa.eu/eli/ontology#
http://data.europa.eu/eli/ontology#LegalValue-official	http://data.europa.eu/eli/ontology#LegalValue	http://www.w3.org/2004/02/skos/core#Concept	http://data.europa.eu/eli/ontology#LegalValueTable	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://data.europa.eu/eli/ontology#
http://data.europa.eu/eli/ontology#LegalValue-unofficial	http://data.europa.eu/eli/ontology#LegalValue	http://www.w3.org/2004/02/skos/core#Concept	http://data.europa.eu/eli/ontology#LegalValueTable	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://data.europa.eu/eli/ontology#
http://www.w3.org/ns/dqv	-	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://www.w3.org/ns/
http://www.w3.org/ns/duv	-	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://www.w3.org/ns/
https://vocab.eccenca.com/pubsub/	-	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	https://vocab.eccenca.com/pubsub/
https://w3id.org/rdfp/	-	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	https://w3id.org/rdfp/
https://w3id.org/seas/EvaluationOntology	-	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	https://w3id.org/seas/
https://w3id.org/seas/FeatureOfInterestOntology	-	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	https://w3id.org/seas/
https://w3id.org/seas/OperatingOntology	-	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	https://w3id.org/seas/
https://w3id.org/seas/QUDTAlignment	-	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	https://w3id.org/seas/
https://w3id.org/seas/StatisticsOntology	-	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	https://w3id.org/seas/
https://w3id.org/seas/SystemOntology	-	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	https://w3id.org/seas/
https://w3id.org/vocab/xbrll	-	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	https://w3id.org/vocab/
http://eis.iai.uni-bonn.de/Irlan	http://schema.org/Person	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://eis.iai.uni-bonn.de/
https://at.linkedin.com/in/olga-kovalenko-979552108/	http://schema.org/Person	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	https://at.linkedin.com/in/olga-kovalenko-979552108/
http://vocab.deri.ie/orca#Data	http://vocab.deri.ie/orca#Basis	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://vocab.deri.ie/orca#
http://vocab.deri.ie/orca#Reasoning	http://vocab.deri.ie/orca#Basis	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://vocab.deri.ie/orca#
http://vocab.deri.ie/orca#Unidentified	http://vocab.deri.ie/orca#Basis	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://vocab.deri.ie/orca#
http://vocab.deri.ie/orca#DoxasticKnowledge	http://vocab.deri.ie/orca#ConfidenceLevel	-	-	http://sparql.sstu.ru:3030/speciality/	http://sparql.sstu.ru:3030/speciality/	http://vocab.deri.ie/orca#
