instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://data.ign.fr/id/codes/topo/typederelief/Crete	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Depression	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Dune	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Escarpement	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Gorge	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Grotte	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Ile	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Isthme	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Levee	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typederelief/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Montagne	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/MurDeSoutenement	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typederelief/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Pic	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Plage	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Plaine	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Recif	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Rochers	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Sommet	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typedezai/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
http://data.ign.fr/id/codes/topo/typederelief/Talus	http://data.ign.fr/def/topo#TypeDeRelief	http://www.w3.org/2004/02/skos/core#Concept	http://data.ign.fr/id/codes/topo/typederelief/liste	http://dati.camera.it/ocd/	http://dati.camera.it/ocd/	http://data.ign.fr/id/codes/topo/typederelief/
