instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://www.bbc.co.uk/things/competition-types/club-cup	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/club-groupcup	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/club-groupcup-womens	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/club-league	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/domestic	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/domestic-cup	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/domestic-cup-womens	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/domestic-groupcup	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/domestic-groupcup-womens	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/domestic-league	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/domestic-league-womens	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/european-cup	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/european-groupcup	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/european-groupcup-womens	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/international	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/international-cup	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/international-cup-womens	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/international-group	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/international-group-womens	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/international-groupcup	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/competition-types/international-groupcup-womens	http://www.bbc.co.uk/ontologies/sport/CompetitionType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/competition-types/
http://www.bbc.co.uk/things/event-gender/mens	http://www.bbc.co.uk/ontologies/sport/EventGender			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/event-gender/
http://www.bbc.co.uk/things/event-gender/mixed	http://www.bbc.co.uk/ontologies/sport/EventGender			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/event-gender/
http://www.bbc.co.uk/things/event-gender/womens	http://www.bbc.co.uk/ontologies/sport/EventGender			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/event-gender/
http://www.bbc.co.uk/things/round-types/final	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/final-qualifying	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/group	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/home-and-home	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/hosted	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/play-off	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/practice	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/qualifying	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/quarter-final	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/race	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/round-of-16	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/round-of-32	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/semi-final	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/single	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/single-elimination	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
http://www.bbc.co.uk/things/round-types/single-group	http://www.bbc.co.uk/ontologies/sport/RoundType			http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/	http://www.bbc.co.uk/things/round-types/
