instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#JMEPermissionDomains	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#AccessControlList	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#HardwareLocking	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#AccessControlMethods	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#AES_FIPS197	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#AES	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#MutualReliableChannel	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#AuthenticationLevel	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#NoAuthentication	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#AuthenticationLevel	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#OneSideVerification	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#AuthenticationLevel	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#OneSideVerification	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#AuthenticationWay	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#WithoutVerification	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#AuthenticationLevel	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#Mutual	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#AuthenticationWay	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#CompactFlash	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#CardMemory	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#MMC	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#CardMemory	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#JavaCard	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#CardType	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#JavaCard	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#SIM	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#MULTOS	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#CardType	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#Mobile2Market	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#CertificationAuthority	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#SymbianSigned	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#CertificationAuthority	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#Verisign	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#CertificationAuthority	-	-	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#	http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
