instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://purl.org/vocommons/voaf/v1.0	http://purl.org/vocab/frbr/core#Expression	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/
http://purl.org/vocommons/voaf/v1.1	http://purl.org/vocab/frbr/core#Expression	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/
http://purl.org/vocommons/voaf/v2.0	http://purl.org/vocab/frbr/core#Expression	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/
http://purl.org/vocommons/voaf/v2.1	http://purl.org/vocab/frbr/core#Expression	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/
http://purl.org/vocommons/voaf/v2.2	http://purl.org/vocab/frbr/core#Expression	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/
http://purl.org/vocommons/voaf/v2.3	http://purl.org/vocab/frbr/core#Expression	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/
http://purl.org/vocommons/voaf/v1.0/index.html	http://purl.org/vocab/frbr/core#Manifestation	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/v1.0/
http://purl.org/vocommons/voaf/v1.0/voaf_v1.0.rdf	http://purl.org/vocab/frbr/core#Manifestation	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/v1.0/
http://purl.org/vocommons/voaf/v1.1/index.html	http://purl.org/vocab/frbr/core#Manifestation	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/v1.1/
http://purl.org/vocommons/voaf/v1.1/voaf_v1.1.rdf	http://purl.org/vocab/frbr/core#Manifestation	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/v1.1/
http://purl.org/vocommons/voaf/v2.0/index.html	http://purl.org/vocab/frbr/core#Manifestation	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/v2.0/
http://purl.org/vocommons/voaf/v2.0/voaf_v2.0.rdf	http://purl.org/vocab/frbr/core#Manifestation	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/v2.0/
http://purl.org/vocommons/voaf/v2.1/index.html	http://purl.org/vocab/frbr/core#Manifestation	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/v2.1/
http://purl.org/vocommons/voaf/v2.1/voaf_v2.1.rdf	http://purl.org/vocab/frbr/core#Manifestation	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/v2.1/
http://purl.org/vocommons/voaf/v2.2/index.html	http://purl.org/vocab/frbr/core#Manifestation	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/v2.2/
http://purl.org/vocommons/voaf/v2.2/voaf_v2.2.rdf	http://purl.org/vocab/frbr/core#Manifestation	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/v2.2/
http://purl.org/vocommons/voaf/v2.3/index.html	http://purl.org/vocab/frbr/core#Manifestation	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/v2.3/
http://purl.org/vocommons/voaf/v2.3/voaf_v2.3.rdf	http://purl.org/vocab/frbr/core#Manifestation	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/vocommons/voaf/v2.3/
http://purl.org/spar/datacite/abstract	http://purl.org/spar/datacite/DescriptionType	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/other	http://purl.org/spar/datacite/DescriptionType	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/series-information	http://purl.org/spar/datacite/DescriptionType	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/table-of-content	http://purl.org/spar/datacite/DescriptionType	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/fundref	http://purl.org/spar/datacite/FunderIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/local-funder-identifier-scheme	http://purl.org/spar/datacite/FunderIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/dia	http://purl.org/spar/datacite/PersonalIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/isni	http://purl.org/spar/datacite/PersonalIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/jst	http://purl.org/spar/datacite/PersonalIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/local-personal-identifier-scheme	http://purl.org/spar/datacite/PersonalIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/national_insurance_number	http://purl.org/spar/datacite/PersonalIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/nii	http://purl.org/spar/datacite/PersonalIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/openid	http://purl.org/spar/datacite/PersonalIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/orcid	http://purl.org/spar/datacite/PersonalIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/researcherid	http://purl.org/spar/datacite/PersonalIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/social-security-number	http://purl.org/spar/datacite/PersonalIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/viaf	http://purl.org/spar/datacite/PersonalIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/ark	http://purl.org/spar/datacite/ResourceIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/arxiv	http://purl.org/spar/datacite/ResourceIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/doi	http://purl.org/spar/datacite/ResourceIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/ean13	http://purl.org/spar/datacite/ResourceIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/eissn	http://purl.org/spar/datacite/ResourceIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/handle	http://purl.org/spar/datacite/ResourceIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/infouri	http://purl.org/spar/datacite/ResourceIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/isbn	http://purl.org/spar/datacite/ResourceIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/issn	http://purl.org/spar/datacite/ResourceIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/issn-l	http://purl.org/spar/datacite/ResourceIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/istc	http://purl.org/spar/datacite/ResourceIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/local-resource-identifier-scheme	http://purl.org/spar/datacite/ResourceIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
http://purl.org/spar/datacite/lsid	http://purl.org/spar/datacite/ResourceIdentifierScheme	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.org/spar/datacite/
