instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://purl.org/spar/scoro/director	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/employee	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/employer	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/head-of-department	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/manager	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/member	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/non-academic-staff-member	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/organizer	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/participant	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/partner	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/patent-holder	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/possessor	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/programme-manager	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/registrar	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/rights-holder	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/spokesperson	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/stakeholder	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/successor	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/vice-chancellor	http://purl.org/spar/scoro/OrganizationalRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/co-applicant	http://purl.org/spar/scoro/ProjectRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/lead-applicant	http://purl.org/spar/scoro/ProjectRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/project-leader	http://purl.org/spar/scoro/ProjectRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/project-manager	http://purl.org/spar/scoro/ProjectRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/project-member	http://purl.org/spar/scoro/ProjectRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/workpackage-leader	http://purl.org/spar/scoro/ProjectRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/approves-final-manuscript	http://purl.org/spar/scoro/AuthorshipContribution			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/prepares-illustrations	http://purl.org/spar/scoro/AuthorshipContribution			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/prepares-supplementary-information	http://purl.org/spar/scoro/AuthorshipContribution			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/publishes-data	http://purl.org/spar/scoro/AuthorshipContribution			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/revises-manuscript	http://purl.org/spar/scoro/AuthorshipContribution			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/writes-manuscript-draft	http://purl.org/spar/scoro/AuthorshipContribution			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/pro/author	http://purl.org/spar/scoro/AuthorshipRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/pro/
http://purl.org/spar/scoro/article-guarantor	http://purl.org/spar/scoro/AuthorshipRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/consortium-author	http://purl.org/spar/scoro/AuthorshipRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/corresponding-author	http://purl.org/spar/scoro/AuthorshipRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/illustrator	http://purl.org/spar/scoro/AuthorshipRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/photographer	http://purl.org/spar/scoro/AuthorshipRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/principal-author	http://purl.org/spar/scoro/AuthorshipRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/senior-author	http://purl.org/spar/scoro/AuthorshipRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/major-effort	http://purl.org/spar/scoro/ContributionEffort			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/minor-effort	http://purl.org/spar/scoro/ContributionEffort			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/solo-effort	http://purl.org/spar/scoro/ContributionEffort			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/access-provider	http://purl.org/spar/scoro/DataRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/curator	http://purl.org/spar/scoro/DataRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/data-creator	http://purl.org/spar/scoro/DataRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/data-curator	http://purl.org/spar/scoro/DataRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/data-manager	http://purl.org/spar/scoro/DataRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/data-publisher	http://purl.org/spar/scoro/DataRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/data-user	http://purl.org/spar/scoro/DataRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
http://purl.org/spar/scoro/embargo-controller	http://purl.org/spar/scoro/DataRole			http://purl.org/spar/scoro/	http://purl.org/spar/scoro/	http://purl.org/spar/scoro/
