instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://purl.org/dc/dcmitype/MovingImage	http://purl.org/dc/terms/DCMIType	-	-	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://purl.org/dc/dcmitype/
http://purl.org/dc/dcmitype/StillImage	http://purl.org/dc/terms/DCMIType	-	-	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://purl.org/dc/dcmitype/
http://purl.org/dc/dcmitype/Text	http://purl.org/dc/terms/DCMIType	-	-	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://purl.org/dc/dcmitype/
http://purl.org/dc/dcmitype/Event	http://purl.org/dc/terms/DCMIType	-	-	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://purl.org/dc/dcmitype/
http://purl.org/dc/dcmitype/Collection	http://purl.org/dc/terms/DCMIType	-	-	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://purl.org/dc/dcmitype/
http://purl.org/dc/dcmitype/Dataset	http://purl.org/dc/terms/DCMIType	-	-	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://purl.org/dc/dcmitype/
http://purl.org/dc/dcmitype/Service	http://purl.org/dc/terms/DCMIType	-	-	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://purl.org/dc/dcmitype/
http://purl.org/dc/dcmitype/Image	http://purl.org/dc/terms/DCMIType	-	-	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://purl.org/dc/dcmitype/
http://purl.org/dc/dcmitype/InteractiveResource	http://purl.org/dc/terms/DCMIType	-	-	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://purl.org/dc/dcmitype/
http://purl.org/dc/dcmitype/PhysicalObject	http://purl.org/dc/terms/DCMIType	-	-	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://purl.org/dc/dcmitype/
