instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://creativecommons.org/licenses/by/2.0/uk/	http://web.resource.org/cc/License	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://creativecommons.org/licenses/by/2.0/uk/
http://web.resource.org/cc/DerivativeWorks	http://web.resource.org/cc/Permission	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://web.resource.org/cc/
http://web.resource.org/cc/Distribution	http://web.resource.org/cc/Permission	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://web.resource.org/cc/
http://web.resource.org/cc/Reproduction	http://web.resource.org/cc/Permission	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://web.resource.org/cc/
http://web.resource.org/cc/Attribution	http://web.resource.org/cc/Requirement	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://web.resource.org/cc/
http://web.resource.org/cc/Notice	http://web.resource.org/cc/Requirement	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://web.resource.org/cc/
http://vocab.org/frbr/core.html	http://purl.org/dc/dcmitype/Text	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/
http://vocab.org/frbr/core.html	http://xmlns.com/foaf/0.1/Document	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/
http://vocab.org/frbr/core.json	http://purl.org/dc/dcmitype/Text	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/
http://vocab.org/frbr/core.json	http://xmlns.com/foaf/0.1/Document	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/
http://vocab.org/frbr/core.rdf	http://purl.org/dc/dcmitype/Text	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/
http://vocab.org/frbr/core.rdf	http://xmlns.com/foaf/0.1/Document	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/
http://vocab.org/frbr/core.turtle	http://purl.org/dc/dcmitype/Text	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/
http://vocab.org/frbr/core.turtle	http://xmlns.com/foaf/0.1/Document	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/
http://iandavis.com/id/me	http://xmlns.com/foaf/0.1/Person	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://iandavis.com/id/
http://bruce.darcus.name/about#me	http://xmlns.com/foaf/0.1/Person	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://bruce.darcus.name/about#
t128404	-	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	
