instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://www.bbc.co.uk/ontologies/bbc/HighWeb	http://www.bbc.co.uk/ontologies/bbc/Platform			http://www.bbc.co.uk/ontologies/bbc	http://www.bbc.co.uk/ontologies/bbc/	http://www.bbc.co.uk/ontologies/bbc/
http://www.bbc.co.uk/ontologies/bbc/Mobile	http://www.bbc.co.uk/ontologies/bbc/Platform			http://www.bbc.co.uk/ontologies/bbc	http://www.bbc.co.uk/ontologies/bbc/	http://www.bbc.co.uk/ontologies/bbc/
http://www.bbc.co.uk/ontologies/bbc/Blogs	http://www.bbc.co.uk/ontologies/bbc/Product			http://www.bbc.co.uk/ontologies/bbc	http://www.bbc.co.uk/ontologies/bbc/	http://www.bbc.co.uk/ontologies/bbc/
http://www.bbc.co.uk/ontologies/bbc/Education	http://www.bbc.co.uk/ontologies/bbc/Product			http://www.bbc.co.uk/ontologies/bbc	http://www.bbc.co.uk/ontologies/bbc/	http://www.bbc.co.uk/ontologies/bbc/
http://www.bbc.co.uk/ontologies/bbc/Facebook	http://www.bbc.co.uk/ontologies/bbc/Product			http://www.bbc.co.uk/ontologies/bbc	http://www.bbc.co.uk/ontologies/bbc/	http://www.bbc.co.uk/ontologies/bbc/
http://www.bbc.co.uk/ontologies/bbc/Music	http://www.bbc.co.uk/ontologies/bbc/Product			http://www.bbc.co.uk/ontologies/bbc	http://www.bbc.co.uk/ontologies/bbc/	http://www.bbc.co.uk/ontologies/bbc/
http://www.bbc.co.uk/ontologies/bbc/News	http://www.bbc.co.uk/ontologies/bbc/Product			http://www.bbc.co.uk/ontologies/bbc	http://www.bbc.co.uk/ontologies/bbc/	http://www.bbc.co.uk/ontologies/bbc/
http://www.bbc.co.uk/ontologies/bbc/OfficialHomepage	http://www.bbc.co.uk/ontologies/bbc/Product			http://www.bbc.co.uk/ontologies/bbc	http://www.bbc.co.uk/ontologies/bbc/	http://www.bbc.co.uk/ontologies/bbc/
http://www.bbc.co.uk/ontologies/bbc/Sport	http://www.bbc.co.uk/ontologies/bbc/Product			http://www.bbc.co.uk/ontologies/bbc	http://www.bbc.co.uk/ontologies/bbc/	http://www.bbc.co.uk/ontologies/bbc/
http://www.bbc.co.uk/ontologies/bbc/Twitter	http://www.bbc.co.uk/ontologies/bbc/Product			http://www.bbc.co.uk/ontologies/bbc	http://www.bbc.co.uk/ontologies/bbc/	http://www.bbc.co.uk/ontologies/bbc/
