instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://purl.oclc.org/NET/ldr/ns#access	http://purl.oclc.org/NET/ldr/ns#Access			http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#
http://purl.oclc.org/NET/ldr/ns#LinkedDataAccess	http://purl.oclc.org/NET/ldr/ns#Access			http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#
http://purl.oclc.org/NET/ldr/ns#reasonWith	http://purl.oclc.org/NET/ldr/ns#Access			http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#
http://purl.oclc.org/NET/ldr/ns#judicialProcess	http://purl.oclc.org/NET/ldr/ns#CopyrightException			http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#
http://purl.oclc.org/NET/ldr/ns#nationalSecurity	http://purl.oclc.org/NET/ldr/ns#CopyrightException			http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#
http://purl.oclc.org/NET/ldr/ns#research	http://purl.oclc.org/NET/ldr/ns#CopyrightException			http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#
http://purl.oclc.org/NET/ldr/ns#derivation	http://purl.oclc.org/NET/ldr/ns#Derivation			http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#
http://purl.oclc.org/NET/ldr/ns#deriveClasses	http://purl.oclc.org/NET/ldr/ns#Derivation			http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#
http://purl.oclc.org/NET/ldr/ns#deriveProperties	http://purl.oclc.org/NET/ldr/ns#Derivation			http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#
http://purl.oclc.org/NET/ldr/ns#rebaseURIs	http://purl.oclc.org/NET/ldr/ns#Derivation			http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#
http://purl.oclc.org/NET/ldr/ns#reificate	http://purl.oclc.org/NET/ldr/ns#Derivation			http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#
http://purl.oclc.org/NET/ldr/ns#transcodeWork	http://purl.oclc.org/NET/ldr/ns#Derivation			http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#	http://purl.oclc.org/NET/ldr/ns#
