instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://contsem.unizar.es/def/sector-publico/pproc#AdministrativeInformation	http://contsem.unizar.es/def/sector-publico/pproc#InformationKindScheme	http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
http://contsem.unizar.es/def/sector-publico/pproc#Emergency	http://contsem.unizar.es/def/sector-publico/pproc#UrgencyTypeScheme	http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
http://contsem.unizar.es/def/sector-publico/pproc#Express	http://contsem.unizar.es/def/sector-publico/pproc#UrgencyTypeScheme	http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
http://contsem.unizar.es/def/sector-publico/pproc#Minor	http://contsem.unizar.es/def/sector-publico/pproc#ProcedureTypeScheme	http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
http://contsem.unizar.es/def/sector-publico/pproc#Negotiated	http://contsem.unizar.es/def/sector-publico/pproc#ProcedureTypeScheme	http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
http://contsem.unizar.es/def/sector-publico/pproc#NegotiatedWithoutPublicity	http://contsem.unizar.es/def/sector-publico/pproc#ProcedureTypeScheme	http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
http://contsem.unizar.es/def/sector-publico/pproc#NegotiatedWithPublicity	http://contsem.unizar.es/def/sector-publico/pproc#ProcedureTypeScheme	http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
http://contsem.unizar.es/def/sector-publico/pproc#Regular	http://contsem.unizar.es/def/sector-publico/pproc#UrgencyTypeScheme	http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
http://contsem.unizar.es/def/sector-publico/pproc#RegularOpen	http://contsem.unizar.es/def/sector-publico/pproc#ProcedureTypeScheme	http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
http://contsem.unizar.es/def/sector-publico/pproc#SimpleOpen	http://contsem.unizar.es/def/sector-publico/pproc#ProcedureTypeScheme	http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
http://contsem.unizar.es/def/sector-publico/pproc#TechnicalInformation	http://contsem.unizar.es/def/sector-publico/pproc#InformationKindScheme	http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
http://purl.org/procurement/public-contracts#CompetitiveDialogue	http://contsem.unizar.es/def/sector-publico/pproc#ProcedureTypeScheme	http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://purl.org/procurement/public-contracts#
http://purl.org/procurement/public-contracts#Restricted	http://contsem.unizar.es/def/sector-publico/pproc#ProcedureTypeScheme	http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://purl.org/procurement/public-contracts#
http://es.linkedin.com/pub/guillermo-esteban-p%C3%A9rez/56/210/5a8	http://xmlns.com/foaf/0.1/Person			http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://es.linkedin.com/pub/guillermo-esteban-p%C3%A9rez/56/210/
http://webdiis.unizar.es/~seron/	http://xmlns.com/foaf/0.1/Person			http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://webdiis.unizar.es/~seron/
http://www.araid.es/en/users/jfm#profile-investigador	http://xmlns.com/foaf/0.1/Person			http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://www.araid.es/en/users/jfm#
https://www.linkedin.com/profile/view?id=218098827	http://xmlns.com/foaf/0.1/Person			http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	https://www.linkedin.com/profile/
http://purl.org/procurement/public-contracts#Negotiated		http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://purl.org/procurement/public-contracts#
http://purl.org/procurement/public-contracts#Open		http://www.w3.org/2004/02/skos/core#Concept		http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://purl.org/procurement/public-contracts#
http://contsem.unizar.es/def/sector-publico/pproc#InformationKindScheme				http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
http://contsem.unizar.es/def/sector-publico/pproc#ProcedureTypeScheme				http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
http://contsem.unizar.es/def/sector-publico/pproc#UrgencyTypeScheme				http://contsem.unizar.es/def/sector-publico/pproc	http://contsem.unizar.es/def/sector-publico/pproc#	http://contsem.unizar.es/def/sector-publico/pproc#
