instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://www.aktors.org/ontology/support#seven-day-duration	http://www.aktors.org/ontology/support#Duration			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#	http://www.aktors.org/ontology/support#
http://www.aktors.org/ontology/support#thirty-day-duration	http://www.aktors.org/ontology/support#Duration			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#	http://www.aktors.org/ontology/support#
http://www.aktors.org/ontology/support#thirtyone-day-duration	http://www.aktors.org/ontology/support#Duration			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#	http://www.aktors.org/ontology/support#
http://www.aktors.org/ontology/support#twelve-month-duration	http://www.aktors.org/ontology/support#Duration			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#	http://www.aktors.org/ontology/support#
http://www.aktors.org/ontology/support#twentyeight-day-duration	http://www.aktors.org/ontology/support#Duration			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#	http://www.aktors.org/ontology/support#
http://www.aktors.org/ontology/support#twentyfour-hour-duration	http://www.aktors.org/ontology/support#Duration			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#	http://www.aktors.org/ontology/support#
http://www.aktors.org/ontology/support#twentynine-day-duration	http://www.aktors.org/ontology/support#Duration			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#	http://www.aktors.org/ontology/support#
http://www.aktors.org/ontology/support#time-measure-day	http://www.aktors.org/ontology/support#Time-Measure			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#	http://www.aktors.org/ontology/support#
http://www.aktors.org/ontology/support#time-measure-hour	http://www.aktors.org/ontology/support#Time-Measure			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#	http://www.aktors.org/ontology/support#
http://www.aktors.org/ontology/support#time-measure-minute	http://www.aktors.org/ontology/support#Time-Measure			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#	http://www.aktors.org/ontology/support#
http://www.aktors.org/ontology/support#time-measure-month	http://www.aktors.org/ontology/support#Time-Measure			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#	http://www.aktors.org/ontology/support#
http://www.aktors.org/ontology/support#time-measure-second	http://www.aktors.org/ontology/support#Time-Measure			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#	http://www.aktors.org/ontology/support#
http://www.aktors.org/ontology/support#time-measure-year	http://www.aktors.org/ontology/support#Time-Measure			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#	http://www.aktors.org/ontology/support#
