instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://purl.org/ctic/empleo/oferta#esquemaCategorias-administracion	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-agricultura_alimentacion	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-almacenes	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-arquitectura_dise��o	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-comercial_ventas	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-comunicacion_cultura	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-construccion	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-derecho_psicologia	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-directivos	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-educacion_serviciossociales	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-electricidad_energia	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-industria	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-informacion	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-informatica_telecomunicaciones	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-ingenieria_ciencias	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-limpieza_cuidadopersonas	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-metal_mecanica	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-peluqueria_estetica	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-primer_empleo	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-salud_deporte	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-transporte	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://www.w3.org/2004/02/skos/core#Concept	-	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#
