instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://id.insee.fr/codes/geo/typeDEPCI/CA	http://rdf.insee.fr/def/geo#TypeDEPCI	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/
http://id.insee.fr/codes/geo/typeDEPCI/CA	http://id.insee.fr/codes/geo/typeDEPCI/liste	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/
http://id.insee.fr/codes/geo/typeDEPCI/CC	http://id.insee.fr/codes/geo/typeDEPCI/liste	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/
http://id.insee.fr/codes/geo/typeDEPCI/CC	http://rdf.insee.fr/def/geo#TypeDEPCI	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/
http://id.insee.fr/codes/geo/typeDEPCI/CU	http://rdf.insee.fr/def/geo#TypeDEPCI	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/
http://id.insee.fr/codes/geo/typeDEPCI/CU	http://id.insee.fr/codes/geo/typeDEPCI/liste	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/
http://id.insee.fr/codes/geo/typeDEPCI/SAN	http://id.insee.fr/codes/geo/typeDEPCI/liste	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/
http://id.insee.fr/codes/geo/typeDEPCI/SAN	http://rdf.insee.fr/def/geo#TypeDEPCI	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/
http://id.insee.fr/codes/geo/typeDIRIS/A	http://rdf.insee.fr/def/geo#TypeDIRIS	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/
http://id.insee.fr/codes/geo/typeDIRIS/A	http://id.insee.fr/codes/geo/typeDIRIS/liste	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/
http://id.insee.fr/codes/geo/typeDIRIS/D	http://rdf.insee.fr/def/geo#TypeDIRIS	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/
http://id.insee.fr/codes/geo/typeDIRIS/D	http://id.insee.fr/codes/geo/typeDIRIS/liste	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/
http://id.insee.fr/codes/geo/typeDIRIS/H	http://rdf.insee.fr/def/geo#TypeDIRIS	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/
http://id.insee.fr/codes/geo/typeDIRIS/H	http://id.insee.fr/codes/geo/typeDIRIS/liste	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/
http://id.insee.fr/codes/geo/typeDIRIS/Z	http://rdf.insee.fr/def/geo#TypeDIRIS	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/
http://id.insee.fr/codes/geo/typeDIRIS/Z	http://id.insee.fr/codes/geo/typeDIRIS/liste	http://www.w3.org/2004/02/skos/core#Concept	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/
http://creativecommons.org/licenses/by/3.0/	http://creativecommons.org/ns#License	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://creativecommons.org/licenses/by/3.0/
http://www.geonames.org/ontology#A.ADM1	http://www.geonames.org/ontology#Code	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://www.geonames.org/ontology#
http://www.geonames.org/ontology#A.ADM2	http://www.geonames.org/ontology#Code	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://www.geonames.org/ontology#
http://www.geonames.org/ontology#A.ADM3	http://www.geonames.org/ontology#Code	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://www.geonames.org/ontology#
http://www.geonames.org/ontology#A.ADM4	http://www.geonames.org/ontology#Code	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://www.geonames.org/ontology#
http://www.geonames.org/ontology#A.PCLI	http://www.geonames.org/ontology#Code	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://www.geonames.org/ontology#
http://dbpedia.org/resource/INSEE	http://xmlns.com/foaf/0.1/Organization	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://dbpedia.org/resource/
t141466	-	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	
t141467	-	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	
http://id.insee.fr/codes/geo/typeDEPCI/liste	-	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/
http://id.insee.fr/codes/geo/typeDIRIS/liste	-	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/
