instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://vocab.getty.edu/ontology	-	-	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/
http://vocab.getty.edu/ontology#Infer_broaderPreferredExtended	http://www.ontotext.com/proton/protontop#PropChainRestr	-	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/ontology#
http://vocab.getty.edu/ontology#Infer_broaderNonConcept_PropChainType2	http://www.ontotext.com/proton/protontop#PropChainType2	-	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/ontology#
http://vocab.getty.edu/ontology#Infer_skosBroader_PropChainType2	http://www.ontotext.com/proton/protontop#PropChainType2	-	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/ontology#
http://vocab.getty.edu/ontology#Infer_isoBroaderGeneric	http://www.ontotext.com/proton/protontop#PropRestr	-	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/ontology#
http://vocab.getty.edu/ontology#Infer_isoBroaderInstantial	http://www.ontotext.com/proton/protontop#PropRestr	-	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/ontology#
http://vocab.getty.edu/ontology#Infer_isoBroaderPartitive	http://www.ontotext.com/proton/protontop#PropRestr	-	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/ontology#
http://vocab.getty.edu/ontology#Infer_broaderNonConcept_TypeRestr	http://www.ontotext.com/proton/protontop#TypeRestr	-	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/ontology#
http://vocab.getty.edu/ontology#Infer_skosBroader_TypeRestr	http://www.ontotext.com/proton/protontop#TypeRestr	-	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/ontology#
http://www.getty.edu/research/	http://xmlns.com/foaf/0.1/Organization	-	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://www.getty.edu/research/
http://www.ontotext.com	http://xmlns.com/foaf/0.1/Organization	-	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://
http://vocab.getty.edu/historic/current	http://vocab.getty.edu/historic/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/historic/
http://vocab.getty.edu/historic/currentAndHistoric	http://vocab.getty.edu/historic/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/historic/
http://vocab.getty.edu/historic/historic	http://vocab.getty.edu/historic/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/historic/
http://vocab.getty.edu/historic/localUse	http://vocab.getty.edu/historic/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/historic/
http://vocab.getty.edu/term/display/Display	http://vocab.getty.edu/term/display/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/display/
http://vocab.getty.edu/term/display/Indexing	http://vocab.getty.edu/term/display/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/display/
http://vocab.getty.edu/term/flag/LiteralTranslation	http://vocab.getty.edu/term/flag/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/flag/
http://vocab.getty.edu/term/flag/LoanTerm	http://vocab.getty.edu/term/flag/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/flag/
http://vocab.getty.edu/term/flag/Vernacular	http://vocab.getty.edu/term/flag/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/flag/
http://vocab.getty.edu/term/kind/Abbreviation	http://vocab.getty.edu/term/kind/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/kind/
http://vocab.getty.edu/term/kind/BirthName	http://vocab.getty.edu/term/kind/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/kind/
http://vocab.getty.edu/term/kind/ChemicalName	http://vocab.getty.edu/term/kind/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/kind/
http://vocab.getty.edu/term/kind/CommonName	http://vocab.getty.edu/term/kind/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/kind/
http://vocab.getty.edu/term/kind/CommonTerm	http://vocab.getty.edu/term/kind/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/kind/
http://vocab.getty.edu/term/kind/FIPSCode	http://vocab.getty.edu/term/kind/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/kind/
http://vocab.getty.edu/term/kind/FullName	http://vocab.getty.edu/term/kind/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/kind/
http://vocab.getty.edu/term/kind/FullTerm	http://vocab.getty.edu/term/kind/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/kind/
http://vocab.getty.edu/term/kind/ISOalpha2	http://vocab.getty.edu/term/kind/	http://www.w3.org/2004/02/skos/core#Concept	-	http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#	http://vocab.getty.edu/term/kind/
