instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://rdfunit.aksw.org/ns/core#Class	http://rdfunit.aksw.org/ns/core#ParameterConstraint			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#None	http://rdfunit.aksw.org/ns/core#ParameterConstraint			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#Operator	http://rdfunit.aksw.org/ns/core#ParameterConstraint			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#Property	http://rdfunit.aksw.org/ns/core#ParameterConstraint			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#Resource	http://rdfunit.aksw.org/ns/core#ParameterConstraint			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#ResultStatusError	http://rdfunit.aksw.org/ns/core#ResultStatus			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#ResultStatusFail	http://rdfunit.aksw.org/ns/core#ResultStatus			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#ResultStatusSuccess	http://rdfunit.aksw.org/ns/core#ResultStatus			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#ResultStatusTimeout	http://rdfunit.aksw.org/ns/core#ResultStatus			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#Application	http://rdfunit.aksw.org/ns/core#TestAppliesTo			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#Dataset	http://rdfunit.aksw.org/ns/core#TestAppliesTo			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#EnrichedSchema	http://rdfunit.aksw.org/ns/core#TestAppliesTo			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#Schema	http://rdfunit.aksw.org/ns/core#TestAppliesTo			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#AutoGenerated	http://rdfunit.aksw.org/ns/core#TestGenerationType			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
http://rdfunit.aksw.org/ns/core#ManuallyGenerated	http://rdfunit.aksw.org/ns/core#TestGenerationType			http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#	http://rdfunit.aksw.org/ns/core#
