instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://spinrdf.org/spin#AskTemplates	http://spinrdf.org/spin#AskTemplate	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#Error	http://spinrdf.org/spin#ConstraintViolationLevel	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#Fatal	http://spinrdf.org/spin#ConstraintViolationLevel	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#Info	http://spinrdf.org/spin#ConstraintViolationLevel	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#Warning	http://spinrdf.org/spin#ConstraintViolationLevel	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#ConstructTemplates	http://spinrdf.org/spin#ConstructTemplate	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#ask	http://spinrdf.org/spin#Function	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#eval	http://spinrdf.org/spin#Function	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#Functions	http://spinrdf.org/spin#Function	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#construct	http://spinrdf.org/spin#MagicProperty	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#MagicProperties	http://spinrdf.org/spin#MagicProperty	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#select	http://spinrdf.org/spin#MagicProperty	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#rule	http://spinrdf.org/spin#RuleProperty	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#SelectTemplates	http://spinrdf.org/spin#SelectTemplate	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#Templates	http://spinrdf.org/spin#Template	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
http://spinrdf.org/spin#UpdateTemplates	http://spinrdf.org/spin#UpdateTemplate	-	-	http://spinrdf.org/spin	http://spinrdf.org/spin#	http://spinrdf.org/spin#
