instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://id.insee.fr/codes/geo/typeDEPCI/CA	http://rdf.insee.fr/def/geo#TypeDEPCI	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDEPCI/liste	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://id.insee.fr/codes/geo/typeDEPCI/
http://id.insee.fr/codes/geo/typeDEPCI/CC	http://rdf.insee.fr/def/geo#TypeDEPCI	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDEPCI/liste	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://id.insee.fr/codes/geo/typeDEPCI/
http://id.insee.fr/codes/geo/typeDEPCI/CU	http://rdf.insee.fr/def/geo#TypeDEPCI	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDEPCI/liste	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://id.insee.fr/codes/geo/typeDEPCI/
http://id.insee.fr/codes/geo/typeDEPCI/SAN	http://rdf.insee.fr/def/geo#TypeDEPCI	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDEPCI/liste	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://id.insee.fr/codes/geo/typeDEPCI/
http://id.insee.fr/codes/geo/typeDIRIS/A	http://rdf.insee.fr/def/geo#TypeDIRIS	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDIRIS/liste	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://id.insee.fr/codes/geo/typeDIRIS/
http://id.insee.fr/codes/geo/typeDIRIS/D	http://rdf.insee.fr/def/geo#TypeDIRIS	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDIRIS/liste	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://id.insee.fr/codes/geo/typeDIRIS/
http://id.insee.fr/codes/geo/typeDIRIS/H	http://rdf.insee.fr/def/geo#TypeDIRIS	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDIRIS/liste	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://id.insee.fr/codes/geo/typeDIRIS/
http://id.insee.fr/codes/geo/typeDIRIS/Z	http://rdf.insee.fr/def/geo#TypeDIRIS	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDIRIS/liste	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://id.insee.fr/codes/geo/typeDIRIS/
http://rdf.muninn-project.org/ontologies/appearances#EyeColorFBI	-	-	http://rdf.muninn-project.org/ontologies/appearances#FBIStandards	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#EyeColorNebraskaDMV	-	-	http://rdf.muninn-project.org/ontologies/appearances#NebraskaDMVStandards	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#HairColorFBI	-	-	http://rdf.muninn-project.org/ontologies/appearances#FBIStandards	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#HairColorNebraskaDMV	-	-	http://rdf.muninn-project.org/ontologies/appearances#NebraskaDMVStandards	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#HairColorRCMP	-	-	http://rdf.muninn-project.org/ontologies/appearances#RCMPStandards	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasArmMeasurement	-	-	http://rdf.muninn-project.org/ontologies/appearances#MaleBodyMeasurement	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasArmMeasurementInches	-	-	http://dbpedia.org/resource/Inch	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasArmMeasurementMeters	-	-	http://dbpedia.org/resource/Metre	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasBandMeasurement	-	-	http://rdf.muninn-project.org/ontologies/appearances#FemaleBodyMeasurement	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasBandMeasurementInches	-	-	http://dbpedia.org/resource/Inch	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasBandMeasurementMeters	-	-	http://dbpedia.org/resource/Metre	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasChestMeasurement	-	-	http://rdf.muninn-project.org/ontologies/appearances#MaleBodyMeasurement	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasChestMeasurementInches	-	-	http://dbpedia.org/resource/Inch	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasChestMeasurementMeters	-	-	http://dbpedia.org/resource/Metre	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasHeightMeasurement	-	-	http://rdf.muninn-project.org/ontologies/appearances#MaleBodyMeasurement	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasHeightMeasurementInches	-	-	http://dbpedia.org/resource/Inch	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasHeightMeasurementMeters	-	-	http://dbpedia.org/resource/Metre	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasHipsMeasurement	-	-	http://rdf.muninn-project.org/ontologies/appearances#MaleBodyMeasurement	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasHipsMeasurementInches	-	-	http://dbpedia.org/resource/Inch	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasHipsMeasurementMeters	-	-	http://dbpedia.org/resource/Metre	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasInseamMeasurement	-	-	http://rdf.muninn-project.org/ontologies/appearances#MaleBodyMeasurement	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasInseamMeasurementInches	-	-	http://dbpedia.org/resource/Inch	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasInseamMeasurementMeters	-	-	http://dbpedia.org/resource/Metre	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasKneeLengthMeasurement	-	-	http://rdf.muninn-project.org/ontologies/appearances#FemaleBodyMeasurement	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasKneeLengthMeasurementInches	-	-	http://dbpedia.org/resource/Inch	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasKneeLengthMeasurementMeters	-	-	http://dbpedia.org/resource/Metre	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasNeckMeasurement	-	-	http://rdf.muninn-project.org/ontologies/appearances#MaleBodyMeasurement	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasNeckMeasurementInches	-	-	http://dbpedia.org/resource/Inch	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasNeckMeasurementMeters	-	-	http://dbpedia.org/resource/Metre	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasOverArmMeasurement	-	-	http://rdf.muninn-project.org/ontologies/appearances#MaleBodyMeasurement	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasOverArmMeasurementInches	-	-	http://dbpedia.org/resource/Inch	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasOverArmMeasurementMeters	-	-	http://dbpedia.org/resource/Metre	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasPantLengthMeasurement	-	-	http://rdf.muninn-project.org/ontologies/appearances#MaleBodyMeasurement	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasPantLengthMeasurementInches	-	-	http://dbpedia.org/resource/Inch	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasPantLengthMeasurementMeters	-	-	http://dbpedia.org/resource/Metre	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasThighMeasurement	-	-	http://rdf.muninn-project.org/ontologies/appearances#MaleBodyMeasurement	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasThighMeasurementInches	-	-	http://dbpedia.org/resource/Inch	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
http://rdf.muninn-project.org/ontologies/appearances#hasThighMeasurementMeters	-	-	http://dbpedia.org/resource/Metre	http://rdf.muninn-project.org/ontologies/military	http://rdf.muninn-project.org/ontologies/military#	http://rdf.muninn-project.org/ontologies/appearances#
