instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://qudt.org/schema/qudt/baseCGSUnitDimensions	http://qudt.org/schema/qudt/latexMathString	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
http://qudt.org/schema/qudt/baseImperialUnitDimensions	http://qudt.org/schema/qudt/latexMathString	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
http://qudt.org/schema/qudt/baseISOUnitDimensions	http://qudt.org/schema/qudt/latexMathString	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
http://qudt.org/schema/qudt/baseSIUnitDimensions	http://qudt.org/schema/qudt/latexMathString	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
http://qudt.org/schema/qudt/baseUnitDimensions	http://qudt.org/schema/qudt/latexMathString	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
http://qudt.org/schema/qudt/baseUSCustomaryUnitDimensions	http://qudt.org/schema/qudt/latexMathString	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
http://qudt.org/schema/qudt/latexSymbol	http://qudt.org/schema/qudt/latexMathString	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
http://qudt.org/schema/qudt/symbol	http://qudt.org/schema/qudt/latexMathString	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
http://qudt.org/vocab/quantity/Dimensionless	http://qudt.org/schema/qudt/QuantityKind	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/vocab/quantity/
http://qudt.org/schema/qudt/latexDefinition	http://qudt.org/schema/qudt/ReifiableProperty	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
http://qudt.org/schema/qudt/mathMLdefinition	http://qudt.org/schema/qudt/ReifiableProperty	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
http://qudt.org/schema/qudt/SOU_CGS	http://qudt.org/schema/qudt/SystemOfUnits	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
http://qudt.org/schema/qudt/SOU_IMPERIAL	http://qudt.org/schema/qudt/SystemOfUnits	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
http://qudt.org/schema/qudt/SOU_SI	http://qudt.org/schema/qudt/SystemOfUnits	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
http://qudt.org/schema/qudt/SOU_USCUSTOMARY	http://qudt.org/schema/qudt/SystemOfUnits	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/
