instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://purl.org/spar/pso/APC-fully-waived	http://purl.org/spar/pso/ArticleProcessingChargeStatus	-	-	http://purl.org/spar/pso	http://purl.org/spar/pso/	http://purl.org/spar/pso/
http://purl.org/spar/pso/APC-not-charged	http://purl.org/spar/pso/ArticleProcessingChargeStatus	-	-	http://purl.org/spar/pso	http://purl.org/spar/pso/	http://purl.org/spar/pso/
http://purl.org/spar/pso/APC-not-required	http://purl.org/spar/pso/ArticleProcessingChargeStatus	-	-	http://purl.org/spar/pso	http://purl.org/spar/pso/	http://purl.org/spar/pso/
http://purl.org/spar/pso/APC-paid	http://purl.org/spar/pso/ArticleProcessingChargeStatus	-	-	http://purl.org/spar/pso	http://purl.org/spar/pso/	http://purl.org/spar/pso/
http://purl.org/spar/pso/APC-partially-waived	http://purl.org/spar/pso/ArticleProcessingChargeStatus	-	-	http://purl.org/spar/pso	http://purl.org/spar/pso/	http://purl.org/spar/pso/
http://purl.org/spar/pso/accepted-for-publication	http://purl.org/spar/pso/PublicationStatus	-	-	http://purl.org/spar/pso	http://purl.org/spar/pso/	http://purl.org/spar/pso/
http://purl.org/spar/pso/anonymized	http://purl.org/spar/pso/PublicationStatus	-	-	http://purl.org/spar/pso	http://purl.org/spar/pso/	http://purl.org/spar/pso/
http://purl.org/spar/pso/archived	http://purl.org/spar/pso/PublicationStatus	-	-	http://purl.org/spar/pso	http://purl.org/spar/pso/	http://purl.org/spar/pso/
http://purl.org/spar/pso/catalogued	http://purl.org/spar/pso/PublicationStatus	-	-	http://purl.org/spar/pso	http://purl.org/spar/pso/	http://purl.org/spar/pso/
http://purl.org/spar/pso/closed-access	http://purl.org/spar/pso/PublicationStatus	-	-	http://purl.org/spar/pso	http://purl.org/spar/pso/	http://purl.org/spar/pso/
http://purl.org/spar/pso/confidential	http://purl.org/spar/pso/PublicationStatus	-	-	http://purl.org/spar/pso	http://purl.org/spar/pso/	http://purl.org/spar/pso/
http://purl.org/spar/pso/copy-edited	http://purl.org/spar/pso/PublicationStatus	-	-	http://purl.org/spar/pso	http://purl.org/spar/pso/	http://purl.org/spar/pso/
http://purl.org/spar/pso/corrected	http://purl.org/spar/pso/PublicationStatus	-	-	http://purl.org/spar/pso	http://purl.org/spar/pso/	http://purl.org/spar/pso/
