instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
https://schema.edu.ee/Ainekava	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
https://schema.edu.ee/Ainevaldkond	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
https://schema.edu.ee/ainevaldkondKoosneb	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
https://schema.edu.ee/AinevaldkonnaPadevus	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
https://schema.edu.ee/alateema	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
https://schema.edu.ee/eeldab	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
https://schema.edu.ee/Haridusaste	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
https://schema.edu.ee/hindabOpitulemust	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
https://schema.edu.ee/Hoiak	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
https://schema.edu.ee/IndividuaalneOppekava	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
https://schema.edu.ee/Kontrolltoo	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
https://schema.edu.ee/kooliaste	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
https://schema.edu.ee/Koolitus	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
https://schema.edu.ee/Kusimus	-	-	https://schema.edu.ee/	https://w3id.org/ifc/IFC4_ADD1	https://w3id.org/ifc/IFC4_ADD1#	https://schema.edu.ee/
