instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://rdf.muninn-project.org/ontologies/military#CarrierBattleGroup	-	http://www.w3.org/2004/02/skos/core#Concept	http://rdf.muninn-project.org/ontologies/military#NavyServiceBranch	http://semweb.mmlab.be/ns/apps4X	http://semweb.mmlab.be/ns/apps4X#	http://rdf.muninn-project.org/ontologies/military#
http://rdf.muninn-project.org/ontologies/military#NavalFleet	-	http://www.w3.org/2004/02/skos/core#Concept	http://rdf.muninn-project.org/ontologies/military#NavyServiceBranch	http://semweb.mmlab.be/ns/apps4X	http://semweb.mmlab.be/ns/apps4X#	http://rdf.muninn-project.org/ontologies/military#
http://rdf.muninn-project.org/ontologies/military#Rank_Admiral_EnglishTradition	http://rdf.muninn-project.org/ontologies/military#MilitaryRank	http://www.w3.org/2004/02/skos/core#Concept	http://rdf.muninn-project.org/ontologies/military#NavyServiceBranch	http://semweb.mmlab.be/ns/apps4X	http://semweb.mmlab.be/ns/apps4X#	http://rdf.muninn-project.org/ontologies/military#
http://rdf.muninn-project.org/ontologies/military#Rank_Admiral_of_the_fleet_EnglishTradition	http://rdf.muninn-project.org/ontologies/military#MilitaryRank	http://www.w3.org/2004/02/skos/core#Concept	http://rdf.muninn-project.org/ontologies/military#NavyServiceBranch	http://semweb.mmlab.be/ns/apps4X	http://semweb.mmlab.be/ns/apps4X#	http://rdf.muninn-project.org/ontologies/military#
http://rdf.muninn-project.org/ontologies/military#Rank_Aircraftman_EnglishTradition	http://rdf.muninn-project.org/ontologies/military#MilitaryRank	http://www.w3.org/2004/02/skos/core#Concept	http://rdf.muninn-project.org/ontologies/military#AirForceServiceBranch	http://semweb.mmlab.be/ns/apps4X	http://semweb.mmlab.be/ns/apps4X#	http://rdf.muninn-project.org/ontologies/military#
http://rdf.muninn-project.org/ontologies/military#Rank_Brigadier_EnglishTradition	http://rdf.muninn-project.org/ontologies/military#MilitaryRank	http://www.w3.org/2004/02/skos/core#Concept	http://rdf.muninn-project.org/ontologies/military#ArmyServiceBranch	http://semweb.mmlab.be/ns/apps4X	http://semweb.mmlab.be/ns/apps4X#	http://rdf.muninn-project.org/ontologies/military#
http://rdf.muninn-project.org/ontologies/military#Rank_Captain_EnglishTradition	http://rdf.muninn-project.org/ontologies/military#MilitaryRank	http://www.w3.org/2004/02/skos/core#Concept	http://rdf.muninn-project.org/ontologies/military#EnglishTradition	http://semweb.mmlab.be/ns/apps4X	http://semweb.mmlab.be/ns/apps4X#	http://rdf.muninn-project.org/ontologies/military#
http://rdf.muninn-project.org/ontologies/military#Rank_Commandant_(rank)_EnglishTradition	http://rdf.muninn-project.org/ontologies/military#MilitaryRank	http://www.w3.org/2004/02/skos/core#Concept	http://rdf.muninn-project.org/ontologies/military#ArmyServiceBranch	http://semweb.mmlab.be/ns/apps4X	http://semweb.mmlab.be/ns/apps4X#	http://rdf.muninn-project.org/ontologies/military#
http://rdf.muninn-project.org/ontologies/military#Rank_Commander_EnglishTradition	http://rdf.muninn-project.org/ontologies/military#MilitaryRank	http://www.w3.org/2004/02/skos/core#Concept	http://rdf.muninn-project.org/ontologies/military#NavyServiceBranch	http://semweb.mmlab.be/ns/apps4X	http://semweb.mmlab.be/ns/apps4X#	http://rdf.muninn-project.org/ontologies/military#
http://rdf.muninn-project.org/ontologies/military#Rank_Commodore_(rank)_EnglishTradition	http://rdf.muninn-project.org/ontologies/military#MilitaryRank	http://www.w3.org/2004/02/skos/core#Concept	http://rdf.muninn-project.org/ontologies/military#NavyServiceBranch	http://semweb.mmlab.be/ns/apps4X	http://semweb.mmlab.be/ns/apps4X#	http://rdf.muninn-project.org/ontologies/military#
