instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://w3id.org/charta77/jup/AccessibleObjectMKPO	http://w3id.org/charta77/jup/ObjectCategorizationMKPO	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategorizationsMKPOScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/AccessibleWCMKPO	http://w3id.org/charta77/jup/WCCategorizationMKPO	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/WCCategorizationsMKPOScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/AdministrativeOfficeObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/AirportObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/ArtificialEntranceGuidingLine	http://w3id.org/charta77/jup/EntranceGuidingLine	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/EntranceGuidingLinesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/AutomaticDoorOpening	http://w3id.org/charta77/jup/DoorOpening	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/DoorOpeningsScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/AutomaticWCFlushing	http://w3id.org/charta77/jup/WCFlushing	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/WCFlushingsScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/AutomaticWCSwitch	http://w3id.org/charta77/jup/WCSwitch	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/WCSwitchesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/BankObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/BarObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/BasilicaObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/BentRampType	http://w3id.org/charta77/jup/RampType	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/RampTypesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/BlockedByFixedWCBasinSpace	http://w3id.org/charta77/jup/WCBasinSpace	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/WCBasinSpacesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/BlockedByMobileWCBasinSpace	http://w3id.org/charta77/jup/WCBasinSpace	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/WCBasinSpacesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/BotanicGardenObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/BottomContrastMarkingLocalization	http://w3id.org/charta77/jup/ContrastMarkingLocalization	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ContrastMarkingLocalizationsScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/BottomLeftWCCabinDisposition	http://w3id.org/charta77/jup/WCCabinDisposition	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/WCCabinDispositionsScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/BottomRightWCCabinDisposition	http://w3id.org/charta77/jup/WCCabinDisposition	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/WCCabinDispositionsScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/BreweryObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/BusStationObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/CampObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/CarDealerObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/CargoElevatorType	http://w3id.org/charta77/jup/ElevatorType	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ElevatorTypesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/CarouselDoorType	http://w3id.org/charta77/jup/DoorType	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/DoorTypesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/CathedralObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/ChapelObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/ChurchObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/CinemaObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/CityHallObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/CollegeObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/ConcertHallObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/ContactSocialServiceObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/CourtObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/DefensiveCastleObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/DentalEmergencyObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/DepartmentStoreObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/DifficultWCFlushingDifficulty	http://w3id.org/charta77/jup/WCFlushingDifficulty	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/WCFlushingDifficultiesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/DigitalElevatorControlFlatMarking	http://w3id.org/charta77/jup/ElevatorControlFlatMarking	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ElevatorControlFlatMarkingsScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/DirectObjectStairsType	http://w3id.org/charta77/jup/StepsStairsType	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/StepsStairsTypesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
http://w3id.org/charta77/jup/DirectRampType	http://w3id.org/charta77/jup/RampType	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/RampTypesScheme	http://purl.org/iot/vocab/m3-lite#	http://purl.org/iot/vocab/m3-lite#	http://w3id.org/charta77/jup/
