instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://purl.org/cld/cdtype/AnalyticFindingAid	-	-	http://purl.org/cld/terms/CDType	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/cld/cdtype/
http://purl.org/cld/cdtype/CatalogueOrIndex	-	-	http://purl.org/cld/terms/CDType	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/cld/cdtype/
http://purl.org/cld/cdtype/HierarchicFindingAid	-	-	http://purl.org/cld/terms/CDType	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/cld/cdtype/
http://purl.org/cld/cdtype/IndexingFindingAid	-	-	http://purl.org/cld/terms/CDType	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/cld/cdtype/
http://purl.org/ctic/dcat#accessMode-direct	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/dcat#accessModeScheme	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/ctic/dcat#
http://purl.org/ctic/dcat#accessMode-indirect	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/dcat#accessModeScheme	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/ctic/dcat#
http://purl.org/ctic/dcat#status-announced	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/dcat#statusScheme	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/ctic/dcat#
http://purl.org/ctic/dcat#status-data	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/dcat#statusScheme	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/ctic/dcat#
http://purl.org/ctic/dcat#status-extinct	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/dcat#statusScheme	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/ctic/dcat#
http://purl.org/ctic/dcat#status-ldFormat	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/dcat#statusScheme	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/ctic/dcat#
http://purl.org/ctic/dcat#status-linkedData	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/dcat#statusScheme	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/ctic/dcat#
http://purl.org/ctic/dcat#status-nonProprietaryFormat	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/dcat#statusScheme	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/ctic/dcat#
http://purl.org/ctic/dcat#status-structuredData	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/dcat#statusScheme	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/ctic/dcat#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-administracion	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-agricultura_alimentacion	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-almacenes	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/ctic/empleo/oferta#
http://purl.org/ctic/empleo/oferta#esquemaCategorias-arquitectura_dise��o	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#	http://purl.org/ctic/empleo/oferta#
