instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://purl.org/innovation/ns#d1-defining-the-need	http://purl.org/innovation/ns#DevelopmentStage	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/innovation/ns#stages-of-innovation	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#d2-designing-the-solution	http://purl.org/innovation/ns#DevelopmentStage	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/innovation/ns#stages-of-innovation	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#d3-developing-the-opportunity	http://purl.org/innovation/ns#DevelopmentStage	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/innovation/ns#stages-of-innovation	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#d4-demonstrating-the-benefits	http://purl.org/innovation/ns#DevelopmentStage	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/innovation/ns#stages-of-innovation	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/innovation/ns#
http://purl.org/innovation/ns#d5-distributing-the-product	http://purl.org/innovation/ns#DevelopmentStage	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/innovation/ns#stages-of-innovation	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/innovation/ns#
http://purl.org/linked-data/sdmx/2009/code#confStatus-C	http://purl.org/linked-data/sdmx/2009/code#ConfStatus	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#confStatus	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#confStatus-C	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#confStatus	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#confStatus-D	http://purl.org/linked-data/sdmx/2009/code#ConfStatus	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#confStatus	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#confStatus-D	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#confStatus	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#confStatus-F	http://purl.org/linked-data/sdmx/2009/code#ConfStatus	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#confStatus	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#confStatus-F	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#confStatus	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#confStatus-N	http://purl.org/linked-data/sdmx/2009/code#ConfStatus	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#confStatus	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#confStatus-N	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#confStatus	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#confStatus-S	http://purl.org/linked-data/sdmx/2009/code#ConfStatus	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#confStatus	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#confStatus-S	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#confStatus	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-0	http://purl.org/linked-data/sdmx/2009/code#Decimals	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-0	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-1	http://purl.org/linked-data/sdmx/2009/code#Decimals	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-1	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-2	http://purl.org/linked-data/sdmx/2009/code#Decimals	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-2	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-3	http://purl.org/linked-data/sdmx/2009/code#Decimals	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-3	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-4	http://purl.org/linked-data/sdmx/2009/code#Decimals	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-4	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-5	http://purl.org/linked-data/sdmx/2009/code#Decimals	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-5	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-6	http://purl.org/linked-data/sdmx/2009/code#Decimals	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-6	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-7	http://purl.org/linked-data/sdmx/2009/code#Decimals	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-7	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-8	http://purl.org/linked-data/sdmx/2009/code#Decimals	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-8	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-9	http://purl.org/linked-data/sdmx/2009/code#Decimals	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#decimals-9	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#decimals	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#freq-A	http://purl.org/linked-data/sdmx/2009/code#Freq	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#freq	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#freq-A	http://purl.org/linked-data/sdmx#Concept	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#freq	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
http://purl.org/linked-data/sdmx/2009/code#freq-B	http://purl.org/linked-data/sdmx/2009/code#Freq	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/linked-data/sdmx/2009/code#freq	http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#	http://purl.org/linked-data/sdmx/2009/code#
