instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://www.w3.org/2006/time#Friday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
http://www.w3.org/2006/time#Monday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
http://www.w3.org/2006/time#Saturday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
http://www.w3.org/2006/time#Sunday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
http://www.w3.org/2006/time#Thursday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
http://www.w3.org/2006/time#Tuesday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
http://www.w3.org/2006/time#Wednesday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
http://www.w3.org/2006/time#unitMinute	http://www.w3.org/2006/time#TemporalUnit	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
http://www.w3.org/2006/time#unitDay	http://www.w3.org/2006/time#TemporalUnit	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
http://www.w3.org/2006/time#unitHour	http://www.w3.org/2006/time#TemporalUnit	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
http://www.w3.org/2006/time#unitMonth	http://www.w3.org/2006/time#TemporalUnit	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
http://www.w3.org/2006/time#unitSecond	http://www.w3.org/2006/time#TemporalUnit	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
http://www.w3.org/2006/time#unitWeek	http://www.w3.org/2006/time#TemporalUnit	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
http://www.w3.org/2006/time#unitYear	http://www.w3.org/2006/time#TemporalUnit	-	-	http://www.w3.org/2006/time	http://www.w3.org/2006/time#	http://www.w3.org/2006/time#
