instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://vocab.gtfs.org/terms#MustCoordinateWithDriver	http://vocab.gtfs.org/terms#DropOffType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#MustCoordinateWithDriver	http://vocab.gtfs.org/terms#PickupType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#MustPhone	http://vocab.gtfs.org/terms#DropOffType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#MustPhone	http://vocab.gtfs.org/terms#PickupType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#NotAvailable	http://vocab.gtfs.org/terms#DropOffType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#NotAvailable	http://vocab.gtfs.org/terms#PickupType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#Regular	http://vocab.gtfs.org/terms#DropOffType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#Regular	http://vocab.gtfs.org/terms#PickupType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#BeforeBoarding	http://vocab.gtfs.org/terms#PaymentMethod			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#OnBoard	http://vocab.gtfs.org/terms#PaymentMethod			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#:Gondola	http://vocab.gtfs.org/terms#RouteType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#Bus	http://vocab.gtfs.org/terms#RouteType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#CableCar	http://vocab.gtfs.org/terms#RouteType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#Ferry	http://vocab.gtfs.org/terms#RouteType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#Funicular	http://vocab.gtfs.org/terms#RouteType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#LightRail	http://vocab.gtfs.org/terms#RouteType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#Rail	http://vocab.gtfs.org/terms#RouteType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#Subway	http://vocab.gtfs.org/terms#RouteType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#NoTransfersAllowed	http://vocab.gtfs.org/terms#TransfersAllowedType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#OneTransfersAllowed	http://vocab.gtfs.org/terms#TransfersAllowedType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#TwoTransfersAllowed	http://vocab.gtfs.org/terms#TransfersAllowedType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#UnlimitedTransfersAllowed	http://vocab.gtfs.org/terms#TransfersAllowedType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#EnsuredTransfer	http://vocab.gtfs.org/terms#TransferType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#MinimumTimeTransfer	http://vocab.gtfs.org/terms#TransferType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#NoTransfer	http://vocab.gtfs.org/terms#TransferType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#RecommendedTransfer	http://vocab.gtfs.org/terms#TransferType			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#CheckParentStation	http://vocab.gtfs.org/terms#WheelchairBoardingStatus			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#NotWheelchairAccessible	http://vocab.gtfs.org/terms#WheelchairBoardingStatus			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
http://vocab.gtfs.org/terms#WheelchairAccessible	http://vocab.gtfs.org/terms#WheelchairBoardingStatus			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#
